Grapheme	IPA	UNICODE	SCA	FREQUENCY	EXAMPLES
^	NULL	NULL		4558	ʔay;kaʁɔʔ;gbaʔ;ʔɛc;caw
$	NULL	NULL		4552	ʔay;kaʁɔʔ;gbaʔ;ʔɛc;caw
-	NULL	U+002d		3	na-;na-;ki-
a	a	U+0061	A	1608	ʔay;kaʁɔʔ;gbaʔ;caw;kaʁɔʔ
à	à/a	U+00e0	A	13	màam;màt;cà;ràaŋ;wàaŋ
á	á/a	U+00e1	A	19	nám;cʔáaŋ;páat;háan;ká
ã	ã	U+00e3	A	70	bajãw;ʔãm;ʔãm;ʔãm;ʔãm
ă	ă	U+0103	A	9	kăp;dayăh;tăp;măt;pgăk
ɑ	ɑ	U+0251	A	28	pagɑh;kawɑw;gɑɲ;ʔɑl;bɑy
a:	aː	U+0061 U+003a	A	21	papa:ʔ;ɲa:m;jʔa:ŋ;ba:y;kama:h
aː	aː	U+0061 U+02d0	A	74	ʔaːy;jʔaːŋ;jəʔaːk;jʔaːk;sat slaːp
a̤	a̤	U+0061 U+0324	A	10	kon ŋa̤ic;ca̤ŋ;sa̤ŋ;kla̤ŋ;bula̤t
ã:	ãː	U+00e3 U+003a	A	4	hã:ʔ;ʔawã:t;mʔã:c;kʔã:c
ãː	ãː	U+00e3 U+02d0	A	3	hãːʔ;kəʔãːj;kaʔãːɲ
ɑ̃	ɑ̃	U+0251 U+0303	A	2	nɑ̃y;mʔɑ̃c
a̤̤	a̤	U+0061 U+0324 U+0324	A	1	jəʔa̤̤k
v	v	U+0076	B	4	chveːɲ;chvɛeːɲ;vɛeɲ;ʔavʌy
ɸ	ɸ	U+0278	B	8	haluɸ;tiɸ;palũɸ;tiɸ;tiɸ
c	c	U+0063	C	531	ʔɛc;caw;ʔec;cɨŋ;mənkec
ch	cʰ	U+0063 U+0068	C	14	chiəm;chiəm;chŋaːy;chŋaːy;chveːɲ
cw	cʷ	NULL	C	3	cwɔm;cwɔ:ʔ;cwəʔ
cʰ	cʰ	U+0063 U+02b0	C	8	cʰim;cʰṳt;cʰɒt;sɔt cʰuʔ;cʰa̤ic
e	e	U+0065	E	312	ʔec;mənkec;paŋen;jbec;jbec
è	è/e	U+00e8	E	10	mèc;klè;wè;lès;hmmè
é	é/e	U+00e9	E	6	tóo sét;pté;plé;sé;kéɲ
ĕ	ĕ	U+0115	E	11	ʔntĕʔ;thlĕaʔ;thlĕaʔ;ʔɲĕh;cĕʔ
ɐ	ɐ	U+0250	E	2	pɐŋ;ɗɐk
ɘ	ɘ	U+0258	E	70	cɘŋ;tbɘʔ;bɘw;bɘw;krɘʔ
ə	ə	U+0259	E	510	ɡəbaʔ;ʔəhaw;mənkec;bəw;bəw
ɛ	ɛ	U+025b	E	491	ʔɛc;ʔɛc;ʔɛc;ckɛy;ʔɛc
ʌ	ʌ	U+028c	E	29	cəʔʌŋ;cəʔʌŋ;dʌt;pɦʌʔ;phʌʔ
